iter	Passed	Remaining
0	9	4537
1	14	3545
2	21	3584
3	27	3395
4	31	3137
5	36	2996
6	40	2835
7	43	2682
8	47	2568
9	50	2482
10	54	2431
11	58	2373
12	61	2312
13	64	2256
14	68	2219
15	71	2176
16	74	2129
17	77	2084
18	81	2053
19	84	2023
20	88	2008
21	91	1995
22	95	1976
23	100	1986
24	105	1997
25	109	1993
26	112	1977
27	117	1984
28	121	1976
29	126	1981
30	130	1972
31	134	1973
32	139	1979
33	144	1975
34	148	1969
35	152	1967
36	157	1965
37	160	1950
38	164	1945
39	168	1932
40	171	1921
41	176	1922
42	181	1924
43	185	1919
44	188	1909
45	193	1908
46	199	1924
47	204	1924
48	208	1916
49	212	1912
50	216	1902
51	219	1895
52	224	1891
53	229	1894
54	233	1890
55	238	1891
56	244	1897
57	260	1986
58	265	1987
59	271	1992
60	276	1993
61	281	1989
62	285	1978
63	289	1971
64	293	1962
65	296	1949
66	299	1932
67	302	1920
68	305	1906
69	308	1894
70	311	1879
71	313	1866
72	316	1852
73	319	1838
74	322	1828
75	325	1816
76	328	1804
77	331	1791
78	339	1807
79	341	1795
80	344	1783
81	348	1775
82	351	1767
83	354	1757
84	358	1748
85	361	1739
86	364	1728
87	367	1718
88	370	1708
89	372	1698
90	376	1690
91	378	1680
92	381	1669
93	384	1659
94	387	1651
95	390	1645
96	394	1640
97	398	1633
98	401	1625
99	405	1620
100	408	1615
101	413	1611
102	416	1604
103	420	1602
104	424	1597
105	428	1591
106	432	1588
107	436	1584
108	440	1579
109	444	1576
110	460	1612
111	465	1612
112	471	1615
113	475	1609
114	480	1607
115	484	1604
116	488	1598
117	491	1590
118	494	1583
119	498	1578
120	502	1573
121	505	1565
122	508	1558
123	511	1551
124	515	1546
125	519	1541
126	522	1534
127	526	1530
128	530	1524
129	534	1522
130	539	1519
131	543	1514
132	549	1515
133	554	1513
134	558	1508
135	562	1504
136	566	1502
137	570	1495
138	575	1494
139	579	1489
140	584	1487
141	588	1484
142	592	1480
143	597	1477
144	601	1473
145	607	1472
146	612	1471
147	617	1468
148	621	1465
149	626	1462
150	632	1461
151	638	1461
152	644	1460
153	649	1458
154	666	1484
155	674	1486
156	680	1486
157	683	1480
158	688	1476
159	692	1472
160	696	1467
161	700	1461
162	703	1453
163	706	1446
164	709	1440
165	712	1433
166	715	1426
167	718	1420
168	721	1413
169	724	1406
170	732	1409
171	739	1410
172	746	1411
173	753	1411
174	759	1409
175	764	1407
176	770	1406
177	776	1403
178	783	1405
179	788	1401
180	793	1398
181	799	1396
182	804	1394
183	810	1391
184	815	1387
185	820	1385
186	826	1382
187	848	1407
188	855	1408
189	863	1408
190	867	1403
191	871	1398
192	874	1390
193	877	1384
194	881	1378
195	884	1371
196	887	1364
197	890	1358
198	893	1351
199	896	1345
200	899	1338
201	903	1332
202	906	1326
203	909	1319
204	913	1313
205	917	1308
206	920	1302
207	923	1296
208	926	1290
209	930	1284
210	932	1277
211	936	1272
212	940	1266
213	944	1262
214	948	1257
215	952	1252
216	956	1246
217	961	1243
218	966	1239
219	969	1234
220	974	1230
221	979	1226
222	982	1220
223	986	1215
224	990	1210
225	994	1205
226	997	1200
227	1001	1195
228	1006	1191
229	1011	1187
230	1016	1183
231	1020	1179
232	1025	1174
233	1040	1182
234	1047	1181
235	1052	1177
236	1056	1172
237	1061	1168
238	1065	1163
239	1068	1157
240	1072	1152
241	1076	1147
242	1078	1140
243	1081	1134
244	1084	1128
245	1088	1123
246	1091	1117
247	1094	1111
248	1097	1106
249	1100	1100
250	1103	1094
251	1107	1089
252	1110	1084
253	1113	1078
254	1117	1073
255	1121	1068
256	1124	1063
257	1128	1058
258	1131	1053
259	1135	1048
260	1138	1042
261	1142	1037
262	1145	1032
263	1149	1027
264	1153	1022
265	1157	1018
266	1161	1013
267	1165	1009
268	1170	1004
269	1174	1000
270	1178	995
271	1182	991
272	1186	986
273	1189	980
274	1192	975
275	1196	970
276	1199	965
277	1203	961
278	1208	957
279	1211	952
280	1215	947
281	1221	944
282	1229	943
283	1235	940
284	1239	934
285	1241	929
286	1246	925
287	1251	921
288	1253	915
289	1256	909
290	1260	904
291	1262	899
292	1265	894
293	1268	889
294	1271	883
295	1274	878
296	1277	873
297	1282	869
298	1285	863
299	1289	859
300	1292	854
301	1295	849
302	1297	843
303	1301	838
304	1302	832
305	1305	827
306	1308	822
307	1311	817
308	1314	812
309	1317	807
310	1322	803
311	1325	798
312	1329	794
313	1333	789
314	1336	785
315	1340	780
316	1344	775
317	1348	771
318	1352	767
319	1355	762
320	1358	757
321	1362	753
322	1366	748
323	1369	743
324	1373	739
325	1377	735
326	1381	730
327	1384	726
328	1387	721
329	1391	717
330	1394	712
331	1399	708
332	1402	703
333	1406	698
334	1421	700
335	1426	696
336	1430	691
337	1433	687
338	1437	682
339	1441	678
340	1445	673
341	1448	669
342	1451	664
343	1454	659
344	1458	655
345	1460	650
346	1463	645
347	1466	640
348	1469	635
349	1472	631
350	1475	626
351	1478	621
352	1481	617
353	1485	612
354	1488	608
355	1491	603
356	1494	598
357	1497	593
358	1500	589
359	1503	584
360	1505	579
361	1508	575
362	1511	570
363	1514	565
364	1517	561
365	1521	557
366	1524	552
367	1527	548
368	1530	543
369	1534	539
370	1537	534
371	1541	530
372	1544	525
373	1547	521
374	1550	516
375	1553	512
376	1557	508
377	1565	505
378	1571	501
379	1576	497
380	1580	493
381	1586	490
382	1593	486
383	1597	482
384	1604	479
385	1628	481
386	1637	478
387	1641	473
388	1646	469
389	1651	465
390	1655	461
391	1660	457
392	1665	453
393	1668	448
394	1671	444
395	1675	439
396	1677	435
397	1681	430
398	1684	426
399	1688	422
400	1691	417
401	1694	413
402	1698	408
403	1702	404
404	1705	400
405	1708	395
406	1711	391
407	1715	386
408	1718	382
409	1720	377
410	1724	373
411	1726	368
412	1730	364
413	1733	360
414	1736	355
415	1739	351
416	1742	346
417	1746	342
418	1750	338
419	1753	333
420	1756	329
421	1760	325
422	1763	321
423	1767	316
424	1771	312
425	1774	308
426	1777	303
427	1781	299
428	1784	295
429	1788	291
430	1791	286
431	1794	282
432	1798	278
433	1805	274
434	1811	270
435	1815	266
436	1821	262
437	1825	258
438	1829	254
439	1834	250
440	1837	245
441	1841	241
442	1844	237
443	1847	233
