,price
0,19.0
1,23.5
2,15.0
3,7.5
4,9.5
5,100.0
6,18.5
7,16.0
8,7.0
9,50.0
10,21.5
11,19.0
12,7.0
13,20.0
14,49.0
15,16.5
16,50.0
17,8.0
18,25.5
19,15.5
20,25.0
21,22.5
22,32.0
23,35.1
24,50.0
25,16.5
26,15.0
27,45.0
28,22.0
29,4.8
30,13.0
31,17.5
32,125.0
33,55.6
34,20.5
35,16.0
36,14.0
37,9.5
38,26.0
39,51.0
40,15.0
41,4.3
42,17.5
43,33.0
44,7.4
45,12.0
46,33.0
47,20.0
48,23.0
49,20.0
50,14.0
51,7.5
52,27.0
53,16.9
54,18.0
55,13.9
56,11.0
57,13.0
58,28.0
59,8.6
60,45.0
61,15.8
62,18.0
63,78.5
64,15.0
65,2.5
66,79.0
67,13.8
68,7.2
69,9.0
70,10.0
71,23.9
72,50.0
73,36.0
74,16.5
75,10.5
76,8.3
77,15.0
78,15.5
79,22.5
80,120.0
81,20.0
82,29.5
83,50.0
84,23.0
85,32.5
86,23.5
87,10.5
88,36.0
89,26.0
90,30.0
91,56.0
92,18.0
93,27.5
94,40.0
95,12.5
96,27.5
97,55.0
98,9.0
99,68.2
100,9.8
101,4.6
102,41.5
103,49.5
104,4.6
105,70.0
106,38.0
107,28.5
108,19.5
109,47.5
110,200.0
111,16.5
112,29.5
113,6.0
114,18.0
115,37.5
116,27.0
117,30.0
118,18.5
119,9.8
120,50.0
121,45.0
122,25.5
123,3.5
124,14.0
125,40.0
126,24.5
127,22.5
128,18.5
129,81.0
130,55.0
131,33.5
132,34.5
133,18.5
134,13.5
135,16.5
136,22.0
137,15.2
138,31.0
139,17.5
140,11.5
141,12.5
142,15.5
143,22.0
144,16.8
145,105.0
146,5.5
147,43.0
148,47.5
149,6.85
150,6.8
151,20.0
152,18.5
153,21.1
154,39.5
155,15.0
156,22.5
157,7.5
158,17.5
159,27.0
160,172.8
161,55.0
162,4.2
163,14.0
164,24.5
165,26.0
166,27.1
167,8.0
168,16.0
169,14.0
170,32.5
171,18.0
172,35.0
173,16.5
174,19.0
175,25.0
176,49.0
177,55.0
178,35.9
179,22.0
180,40.0
181,5.5
182,50.0
183,48.0
184,15.2
185,12.1
186,21.3
187,24.0
188,146.0
189,20.0
190,21.0
191,12.5
192,60.0
193,4.0
194,21.5
195,12.5
196,30.0
197,20.0
198,28.5
199,6.3
200,31.0
201,16.7
202,21.0
203,19.5
204,12.5
205,35.0
206,12.0
207,8.0
208,20.9
209,28.0
210,230.0
211,1.7
212,30.0
213,18.0
214,37.5
215,22.5
216,12.0
217,21.0
218,18.5
219,31.0
220,35.0
221,17.0
222,16.7
223,20.0
224,42.0
225,50.0
226,31.5
227,30.0
228,17.0
229,27.0
230,38.0
231,11.0
232,40.0
233,31.0
234,17.5
235,60.0
236,7.0
237,13.0
238,27.5
239,4.5
240,55.0
241,40.0
242,100.0
243,8.5
244,22.5
245,42.5
246,17.5
247,18.5
248,52.5
249,15.5
250,22.0
251,18.0
252,28.0
253,15.5
254,31.5
255,6.0
256,90.0
257,28.0
258,11.0
259,131.0
260,10.5
261,25.0
262,25.0
263,18.5
264,20.0
265,32.5
266,20.0
267,18.0
268,8.0
269,12.5
270,27.5
271,30.0
272,165.0
273,6.4
274,80.0
275,31.5
276,25.0
277,14.5
278,112.5
279,100.0
280,33.0
281,32.5
282,25.0
283,50.0
284,11.0
285,12.0
286,17.0
287,32.0
288,5.7
289,8.0
290,13.8
291,25.0
292,15.3
293,13.7
294,16.0
295,14.0
296,10.5
297,14.0
298,3.85
299,13.0
300,19.5
301,14.5
