,area,latitude,longitude,bedrooms,bathrooms,balcony,ready_to_move,new_housing,parking,lift,flat_or_individual,furnished_status_Semi-Furnished,furnished_status_Unfurnished
0,840,19.2420124,72.8559055,2,2,0,1,0,0,0,1,0,1
1,1235,19.2099437,72.83086920000001,3,3,0,1,0,0,0,0,1,0
2,1100,19.09698958,72.88535274,2,2,1,1,0,1,1,1,0,1
3,866,19.4621578,72.80568509999999,2,3,0,1,0,0,0,0,0,0
4,1150,19.2133903503418,72.9314193725586,2,2,1,1,1,1,1,1,0,1
5,27600,19.1205839,72.9096882,4,4,3,1,0,3,3,1,0,1
6,1050,19.025619100000004,72.8594659,2,2,0,1,0,0,0,1,0,1
7,650,19.180237,72.85541490000001,2,2,0,1,0,0,0,1,0,1
8,1000,19.39954,72.8604165,2,2,1,1,0,1,1,1,0,0
9,13000,19.1297376,72.8291555,3,3,3,1,0,3,3,1,0,0
10,1100,19.2050017,72.86927109999999,2,2,0,1,0,0,0,1,0,0
11,955,19.1913396666603,72.862262257539,2,2,1,1,1,1,1,1,0,1
12,1200,19.234639,73.16113399999999,2,2,0,1,0,0,0,1,1,0
13,750,19.147872924804688,72.84236907958984,2,2,1,1,0,1,1,1,0,0
14,1280,19.014480590820312,72.82198333740234,2,2,2,1,0,2,2,1,1,0
15,900,19.180237,72.85541490000001,2,2,0,1,0,0,0,1,0,0
16,2400,18.96249,72.81748,5,4,0,1,0,0,0,1,0,0
17,800,19.2100454,72.8183494,2,2,0,1,0,0,0,1,1,0
18,1642,19.206448,72.8233516980957,3,3,3,1,0,3,3,1,0,1
19,840,19.1746739,72.94310379999999,2,2,0,1,0,0,0,1,0,1
20,850,19.1393596,72.82543559999999,2,2,0,1,0,0,0,1,0,1
21,520,19.06738,72.82571999999999,2,2,0,1,0,0,0,1,0,1
22,1365,19.0013826,72.84845279999999,2,2,0,1,0,0,0,1,0,1
23,1900,19.23274803161621,72.84979248046875,3,3,2,1,0,2,2,1,0,1
24,834,18.9918227986647,72.841247747115,2,2,0,1,0,0,0,1,0,1
25,11200,19.11913108825684,72.86412048339844,2,2,0,1,0,0,0,1,0,1
26,2050,19.3693345,72.806127,3,3,2,1,0,2,2,1,0,1
27,2195,19.16989,72.863761,3,4,0,1,0,0,0,1,0,1
28,1200,19.163222,72.849581,3,3,0,1,0,0,0,1,0,1
29,800,19.4540588,72.7688226,2,2,0,1,0,0,0,1,0,1
30,766,19.1654181,72.9667254,2,2,0,1,0,0,0,0,1,0
31,1200,19.1154908,72.87269520000001,2,2,0,1,0,0,0,1,1,0
32,3200,19.068594300901,72.8693929281871,4,6,0,1,0,0,0,1,0,1
33,18550,19.049179,72.9144,3,4,0,1,0,0,0,0,0,1
34,1042,19.119007110595703,72.86405181884766,2,2,0,1,0,0,0,1,0,0
35,940,19.2099437,72.83086920000001,2,2,0,1,0,0,0,1,0,0
36,1000,19.2099437,72.83086920000001,3,4,0,1,0,0,0,1,0,1
37,1030,19.27584635,72.87033299,2,2,2,1,0,2,2,1,0,1
38,950,19.07732391357422,72.90800476074219,2,2,1,1,0,1,1,1,0,0
39,2685,19.22393319,72.84751773,4,4,8,1,1,8,8,0,0,1
40,980,19.1911188680134,72.8375360594169,2,2,1,1,0,1,1,1,0,1
41,795,19.2867077750024,73.0808014999437,2,2,3,1,0,3,3,1,0,1
42,900,19.2050017,72.86927109999999,2,2,0,1,0,0,0,1,1,0
43,925,19.089989000000003,72.836605,2,2,0,1,0,0,0,1,0,1
44,875,19.277162,72.887341,2,2,4,1,0,4,4,1,0,1
